app,num_bb,scaling,num_proc,avg_transfer_size_per_read/write,min_transfer_size_per_read/write,max_transfer_size_per_read/write,avg_io_bandwidth_per_read/write,min_io_bandwidth_per_read/write,max_io_bandwidth_per_read/write,avg_io_bandwidth_per_rank,min_io_bandwidth_per_rank,max_io_bandwidth_per_rank,avg_io_time_over_rank,min_io_time_over_rank,max_io_time_over_rank,avg_transfer_time_over_rank,min_transfer_time_over_rank,max_transfer_time_over_rank,avg_io_intensity_over_rank,min_io_intensity_over_rank,max_io_intensity_over_rank
haccio,0,strong-scaling,64,4449778.387,7,25165824,1283286241,4333333.333,1976580584,372869061.3,192980224.2,826717663.3,0.277091016,0.109079,0.467289,0.156097016,0.062707,0.461582,0.443890608,0.174855976,0.748911138
haccio,0,strong-scaling,128,3489556.865,7,25165824,1287113609,3500000,2041189391,274646619.7,167077516.5,601999897.2,0.267002219,0.116702,0.420491,0.066278523,0.052375,0.308761,0.276230941,0.120791537,0.434936932
haccio,0,strong-scaling,256,3004679.576,5,25165824,1282149823,5000000,2110872672,327525065.3,217877851.6,963626076.8,0.19741823,0.062569,0.276729,0.053017387,0.044232,0.140048,0.45553259,0.144123702,0.638409644
haccio,0,strong-scaling,512,2761035.476,7,25165824,1359084145,3435701.18,2473056604,266280693.7,91400651.72,881430114.9,0.239098102,0.062753,0.605164,0.054781633,0.037016,0.477468,0.263852046,0.069339786,0.669501742
haccio,0,strong-scaling,1024,2347852.503,6,25165824,1198331293,2000000,2383127273,118088126.7,37940000.85,713465233.1,0.562527852,0.074036,1.392253,0.042673379,0.03266,0.582955,0.262380891,0.034604749,0.650214803
haccio,0,weak-scaling,64,2975142.594,7,25165824,1352772550,4875000,2137951236,305690062.3,217687483.5,1023443781,0.214725984,0.058912,0.276971,0.051643469,0.042311,0.057711,0.428846874,0.117660678,0.553241595
haccio,0,weak-scaling,128,2994768.965,7,25165824,1282814232,9750000,2062096362,324684903.4,206385749.2,1046882781,0.204114375,0.057593,0.292138,0.062847555,0.040044,0.217993,0.386370363,0.109031398,0.553032833
haccio,0,weak-scaling,256,3004679.576,7,25165824,1316397240,4333333.333,2128908214,206131011.2,135742730.3,438827331.2,0.303502551,0.137396,0.444172,0.059009828,0.040498,0.265734,0.412075181,0.186659076,0.602892601
haccio,0,weak-scaling,512,3009659.521,7,25165824,1331959356,9750000,2221559322,250073181.2,85755093.62,922068237.8,0.279015346,0.065389,0.703085,0.050723279,0.041314,0.113862,0.268061848,0.062636809,0.675928937
haccio,0,weak-scaling,1024,2678883.878,7,25165824,1208538118,1103448.276,2473056604,159660851.8,42768069.42,759925082.9,0.49809134,0.079341,1.409771,0.055257378,0.037326,0.663971,0.257451969,0.040408666,0.730357539
haccio,1,strong-scaling,64,4449778.387,7,25165824,145568830.9,5571428.571,1086607254,131610567.9,120550306.2,187298605.9,0.692876,0.481464,0.748049,0.653378219,0.469076,0.728446,0.841184207,0.585116909,0.907801108
haccio,1,strong-scaling,128,3489556.865,7,25165824,94168207.28,7000000,1230723005,93525405.31,61346578.09,596464677.2,0.980167555,0.117785,1.145208,0.942488125,0.11421,1.111029,0.802306324,0.09643135,0.93774651
haccio,1,strong-scaling,256,3004679.576,7,25165824,56847493.41,1559749.625,1016800970,60635692.59,29746836.88,553986493.3,1.54289552,0.108835,2.026875,1.492742672,0.087994,1.945796,0.731623289,0.051615209,0.960926686
haccio,1,strong-scaling,512,2761035.475,7,25165824,20078554.8,236660.8346,914322918.2,19358812.04,15001575.49,147481599.6,3.22742551,0.375046,3.687105,2.793696383,0.281065,3.25859,0.81258572,0.094499592,0.929082833
haccio,1,strong-scaling,1024,2353983.116,7,25165824,57207678.53,136470.7842,1391761088,22152579.22,12789414.8,812185555.9,3.256109273,0.065037,4.130143,2.51040661,0.053953,3.532926,0.692240394,0.013716759,0.886326206
haccio,1,weak-scaling,64,2975142.593,7,25165824,143774660.7,4047430.83,816647975.1,142978520.6,121960737.5,324154816.4,0.44543375,0.186001,0.494365,0.412874031,0.160645,0.478629,0.814956762,0.340277964,0.904294347
haccio,1,weak-scaling,128,2994768.965,7,25165824,85450793.54,1908986.972,1349518662,97786534.4,60529305.35,694053481.6,0.830950727,0.086871,0.996098,0.789300391,0.080886,0.957801,0.783486235,0.081900927,0.939169298
haccio,1,weak-scaling,256,3004679.576,7,25165824,55064879.31,1003502.674,1045439681,64346630.69,30245523.35,542775402.2,1.493980035,0.111083,1.993456,1.443613613,0.089306,1.917248,0.720086384,0.053527013,0.960910559
haccio,1,weak-scaling,512,3009659.521,7,25165824,24139292.64,423595.1879,609592907.5,19221169.24,15173122.94,126943574.2,3.519461318,0.47496,3.973679,3.056472709,0.343538,3.50749,0.811612875,0.109612868,0.916801764
haccio,1,weak-scaling,1024,2691965.693,6,25165824,15312659.73,558071.4109,838860800,14730667.96,12787311.52,36449823.53,4.213045286,1.654142,4.715079,3.566754574,1.325817,4.251022,0.778767803,0.305380056,0.883779597
haccio,2,strong-scaling,64,4449778.387,7,25165824,273342322.6,3545454.545,1714059665,191689706.8,175620347.4,222644090.6,0.471332328,0.40503,0.51348,0.3985185,0.304731,0.463035,0.80979004,0.69586339,0.882854998
haccio,2,strong-scaling,128,3489556.864,7,25165824,144526515.4,4875000,1034098619,137272351.4,109902450.5,387990434.8,0.549182977,0.181073,0.639245,0.513858742,0.174981,0.609142,0.770329499,0.253897413,0.89660151
haccio,2,strong-scaling,256,3004679.576,7,25165824,216173930.3,1284925.128,1376083990,109206959.7,53655075.08,645039370.1,0.78149443,0.093472,1.123717,0.745511781,0.082424,1.074313,0.650455898,0.077815842,0.934777855
haccio,2,strong-scaling,512,2761035.475,7,25165824,146182983.5,378443.4596,1260307692,49587773.77,25694589.92,691620931.5,1.663625789,0.079975,2.152686,1.511718357,0.069984,2.024552,0.720040057,0.034631318,0.929365254
haccio,2,strong-scaling,1024,2357676.876,6,25165824,89312915.26,77485.87103,1499304379,20857231.83,6952965.214,669583206.6,4.769470972,0.078888,7.597058,2.931029279,0.062391,6.005615,0.569274183,0.009399681,0.90816823
haccio,2,weak-scaling,64,2975142.594,7,25165824,243678453.8,4875000,1376083990,206790398.8,185369567,325189823.6,0.295556625,0.185409,0.325259,0.249010813,0.149798,0.307933,0.775895617,0.487003445,0.853297059
haccio,2,weak-scaling,128,2994768.965,6,25165824,144659463.9,2265976.298,1326052482,133625435.5,103902957.7,756928253.1,0.506336797,0.079655,0.580283,0.461232859,0.077566,0.549367,0.794578682,0.125011005,0.910554941
haccio,2,weak-scaling,256,3004679.576,7,25165824,114127887.1,1172762.127,1251284010,107773615.5,56219825.02,699172261.8,0.804922465,0.086235,1.072453,0.767306438,0.076826,1.028336,0.697913442,0.07480833,0.929874583
haccio,2,weak-scaling,512,3009659.521,7,25165824,70732532.24,741453.9222,1222413368,56873676.18,28119548.3,625220303.8,1.616051461,0.096435,2.144171,1.491876449,0.082979,2.01747,0.720296369,0.042961773,0.956533906
haccio,2,weak-scaling,1024,2688566.194,7,25165824,23755812.95,662073.4245,1089005323,22494753.23,14785677.61,506737802.9,3.308808349,0.118983,4.07781,2.697908529,0.096862,3.575555,0.71593324,0.025841977,0.887453202
haccio,4,strong-scaling,64,4449778.386,6,25165824,270330742.8,4333333.333,1407957033,206880769.6,191075557.2,250514031.7,0.437503922,0.35997,0.471947,0.369118922,0.273429,0.429582,0.794203059,0.653733759,0.856758164
haccio,4,strong-scaling,128,3489556.865,7,25165824,276740872.3,2437500,1446311724,173395726.6,148471722.5,353443100.6,0.415752078,0.198772,0.473185,0.370215836,0.18868,0.449201,0.772590919,0.369545839,0.880014889
haccio,4,strong-scaling,256,3004679.576,7,25165824,275639437.6,2444461.022,2010531597,168392920.6,79821011.08,690753614.6,0.465464227,0.087286,0.755354,0.414498727,0.082304,0.716239,0.561268855,0.105221776,0.91133636
haccio,4,strong-scaling,512,2761035.476,7,25165824,190091589.5,445721.5533,2334058987,106914280.9,35382534.54,643129864.5,0.908326016,0.086005,1.563268,0.809277674,0.0764,1.509124,0.548314218,0.051882624,0.943493741
haccio,4,strong-scaling,1024,2348056.342,7,25165824,140915999,208457.1196,2212574644,58968964.12,24360708.77,778191932.6,1.442781502,0.067878,2.168331,1.195092016,0.062046,2.048705,0.605693826,0.027766323,0.921193567
haccio,4,weak-scaling,64,2975142.594,7,25165824,289258132,4875000,1363557867,234316699.9,202279069.6,427914265.4,0.26254175,0.1409,0.298069,0.215648094,0.117109,0.275263,0.747616045,0.400903753,0.849117211
haccio,4,weak-scaling,128,2994768.964,4,25165824,194078968.1,3500000,1178175281,180351255.3,138787690.5,362811599.3,0.349757672,0.166183,0.434427,0.294601117,0.143484,0.386754,0.662236508,0.315383306,0.820596485
haccio,4,weak-scaling,256,3004679.576,7,25165824,220046855.5,2841330.573,1212460204,166340751.5,95113660.38,522054514.6,0.442590543,0.115492,0.633906,0.412547883,0.107187,0.607424,0.61819503,0.161463599,0.885675259
haccio,4,weak-scaling,512,3009659.521,7,25165824,229522648.4,1499722.532,1376083990,116389844.8,53446940.99,731384208.5,0.750684771,0.082437,1.128093,0.710009455,0.077349,1.055332,0.610662888,0.0671839,0.916896926
haccio,4,weak-scaling,1024,2686577.374,5,25165824,145320885.1,1071155.968,1424695652,60163915.75,27958362.86,561175119.4,1.469986485,0.107441,2.156536,1.305600119,0.100404,1.940399,0.609823672,0.04413393,0.903288375
haccio,8,strong-scaling,64,4449778.386,6,25165824,287277741.6,7000000.001,1327311392,206428623.3,172153013.8,338649181.7,0.445041281,0.266286,0.523822,0.368114125,0.248014,0.44491,0.691891162,0.413678368,0.814103639
haccio,8,strong-scaling,128,3489556.865,7,25165824,283541599.4,3500000,1416914813,207068318.6,152927176.6,449244117,0.354974094,0.156384,0.459399,0.312061367,0.150084,0.435024,0.624600735,0.274266954,0.81018301
haccio,8,strong-scaling,256,3004679.576,7,25165824,217764614.7,2108928.255,1491661668,195344397,125949155,606882001.8,0.335123984,0.099349,0.47871,0.309019598,0.089027,0.443446,0.592709624,0.175946354,0.847473801
haccio,8,strong-scaling,512,2761035.476,7,25165824,144642113.7,817090.8842,1408824050,136161515.5,82255258.4,648985486.2,0.488235303,0.085229,0.672448,0.449004002,0.076426,0.64981,0.62555427,0.1088211,0.862735467
haccio,8,strong-scaling,1024,2357574.115,6,25165824,103582824.9,368165.2969,1620152192,84381686.24,44204749.69,684392687.3,0.851484687,0.077181,1.194942,0.725515968,0.067732,1.109328,0.607775749,0.053736692,0.87133191
haccio,8,weak-scaling,64,2357574.115,7,25165824,295541401.7,6500000,1522525501,238770750.4,200716343,445958328.1,0.257168672,0.135199,0.300391,0.218820734,0.095132,0.281938,0.732588504,0.385095676,0.85601001
haccio,8,weak-scaling,128,2994768.965,7,25165824,219805564.8,4333333.333,1179500562,188364269.9,155337388.5,470742108.5,0.329097859,0.128081,0.388143,0.283265672,0.123582,0.36504,0.729963516,0.284250471,0.860942493
haccio,8,weak-scaling,256,3004679.576,7,25165824,212146358.3,2165870.747,1505673328,187413484.5,134664016.3,726580704.2,0.354303344,0.082982,0.44773,0.319850191,0.079069,0.421948,0.676322776,0.158311547,0.854555939
haccio,8,weak-scaling,512,3009659.521,7,25165824,154399733.5,2174476.38,1475309180,151529739.1,85105801.55,712238432.2,0.494251996,0.084653,0.708449,0.458116717,0.080759,0.661693,0.585392803,0.099309238,0.841941207
haccio,8,weak-scaling,1024,2684708.229,6,25165824,69693245.47,603480.3067,1152281319,73951116.24,39062588.84,509280287.9,1.109695018,0.118389,1.543502,1.024187562,0.110287,1.467406,0.612659701,0.067214505,0.87214796